Country,Total_Disasters,Total_Deaths
Afghanistan,205,25197
Albania,44,803
Algeria,89,11874
American Samoa,6,130
Angola,74,6222
Anguilla,14,9
Antigua and Barbuda,13,13
Argentina,125,12050
Armenia,12,2895
Australia,247,2256
Austria,53,798
Azerbaijan,16,154
Azores,6,135
Bahamas,28,450
Bahrain,1,111
Bangladesh,356,2993988
Barbados,13,62
Belarus,14,74
Belgium,73,4891
Belize,22,1860
Benin,52,1561
Bermuda,6,4
Bhutan,12,314
Bolivia,102,2304
Bosnia and Herzegovina,26,47
Botswana,23,698
Brazil,251,13121
British Virgin Islands,4,9
Brunei,1,0
Bulgaria,50,313
Burkina Faso,65,17304
Burundi,62,1218
Cambodia,42,2523
Cameroon,54,6117
Canada,144,52435
Cape Verde,21,85295
Cayman Islands,7,2
Central African Republic,44,1006
Chad,64,10534
Chile,118,60522
China,980,12521858
Colombia,206,34569
Comoros,25,678
Congo,34,4710
Congo (DRC),140,17985
Cook Islands,14,32
Costa Rica,75,2998
Croatia,30,868
Cuba,86,5182
Cyprus,15,110
Czech Republic,29,597
Czechoslovakia,9,24
Democratic Federal Republic,20,501
Denmark,16,26
Djibouti,26,344
Dominica,15,2140
Dominican Republic,83,5860
East Germany,3,0
Ecuador,107,15197
Egypt,36,12112
El Salvador,72,8115
Equatorial Guinea,1,15
Eritrea,8,3
Estonia,4,11
Eswatini,18,709
Ethiopia,121,416530
Fiji,62,654
Finland,3,0
France,183,28864
French Guiana,3,10
French Polynesia,8,31
Gabon,13,117
Gambia,34,436
Georgia,25,76
Germany,82,9918
Ghana,54,1842
Greece,104,2860
Grenada,7,45
Guadeloupe,17,2053
Guam,10,18
Guatemala,122,80081
Guinea,38,3962
Guinea-Bissau,25,3044
Guyana,12,34
Haiti,131,252595
Honduras,92,28799
Hong Kong,137,24575
Hungary,34,1211
Iceland,13,51
India,752,9132363
Indonesia,572,242591
Iran,252,163353
Iraq,27,212
Ireland,25,47
Isle of Man,1,0
Israel,20,144
Italy,173,140565
Ivory Coast,30,949
Jamaica,56,2680
Japan,375,239374
Jordan,18,648
Kazakhstan,26,687
Kenya,122,7408
Kiribati,6,20
Kuwait,3,3
Kyrgyzstan,31,477
Laos,54,1606
Latvia,9,92
Lebanon,14,645
Lesotho,25,123
Liberia,24,5494
Libya,5,320
Lithuania,14,104
Luxembourg,13,170
Macau,7,10
Madagascar,90,5155
Malawi,72,3172
Malaysia,97,1475
Maldives,8,325
Mali,62,4082
Marshall Islands,7,6
Martinique,18,30096
Mauritania,47,273
Mauritius,23,81
Mexico,293,25026
Micronesia,11,77
Moldova,16,89
Mongolia,39,1576
Montenegro,6,1
Montserrat,8,43
Morocco,62,14766
Mozambique,117,107060
Myanmar,84,146894
Namibia,32,555
Nepal,131,24871
Netherlands,40,4819
Netherlands Antilles,4,13
New Caledonia,18,20
New Zealand,79,7430
Nicaragua,85,17310
Niger,101,195935
Nigeria,137,31310
Niue,6,2
North Korea,47,3017
North Macedonia,24,69
Northern Mariana Islands,5,5
Norway,13,89
Oman,16,300
Pakistan,233,178860
Palau,5,0
Palestine,9,13
Panama,62,495
Papua New Guinea,89,10415
Paraguay,59,380
Peru,202,97029
Philippines,668,71900
Poland,59,2378
Portugal,51,4208
Puerto Rico,37,1474
Qatar,1,0
Romania,101,4939
Russia,173,61617
Rwanda,52,1200
Réunion,14,239
Saint Barthélemy,1,4
Saint Helena,1,0
Saint Kitts and Nevis,10,6
Saint Lucia,21,45
Saint Martin,1,12
Saint Vincent and the Grenadines,24,1719
Samoa,16,490
Saudi Arabia,29,647
Senegal,54,1555
Serbia,27,96
Serbia and Montenegro,16,21
Seychelles,7,8
Sierra Leone,32,6734
Singapore,4,36
Sint Maarten,1,4
Slovakia,23,204
Slovenia,10,301
Solomon Islands,39,803
Somalia,101,50009
South Africa,110,2327
South Korea,124,9111
South Sudan,25,509
Soviet Union,60,3857096
Spain,111,17434
Sri Lanka,119,40057
Sudan,103,163827
Suriname,4,5
Sweden,16,43
Switzerland,61,1391
Syria,16,225
São Tomé and Príncipe,4,206
Taiwan,131,16982
Tajikistan,76,2517
Tanzania,114,10466
Thailand,157,14633
Timor-Leste,13,73
Togo,29,1199
Tokelau,6,0
Tonga,24,24
Trinidad and Tobago,14,47
Tunisia,25,994
Turkey,205,97086
Turkmenistan,2,11
Turks and Caicos Islands,7,4
Tuvalu,9,6
U.S. Virgin Islands,8,17
Uganda,104,205073
Ukraine,39,1505
United Arab Emirates,1,0
United Kingdom,98,8304
United States,1087,43804
Uruguay,34,44
Uzbekistan,9,99
Vanuatu,50,256
Venezuela,60,31326
Vietnam,247,27240
Wallis and Futuna,5,6
Yemen,64,5116
Yemen (Democratic Republic),7,507
Yugoslavia,22,1413
Zambia,50,1420
Zimbabwe,51,7604
