Year,Temperature Anomaly
1850,-0.43238055555555555
1851,-0.3077138888888893
1852,-0.29304722222222246
1853,-0.3443805555555546
1854,-0.30854722222222364
1855,-0.2784638888888882
1856,-0.42021388888889
1857,-0.5412972222222248
1858,-0.41804722222222246
1859,-0.3696305555555579
1860,-0.4166305555555567
1861,-0.4988805555555569
1862,-0.5594638888888905
1863,-0.36379722222222455
1864,-0.4030472222222219
1865,-0.3028805555555554
1866,-0.2425472222222229
1867,-0.240880555555556
1868,-0.2026305555555563
1869,-0.23404722222222318
1870,-0.29521388888889
1871,-0.2936305555555574
1872,-0.28021388888888943
1873,-0.2502972222222226
1874,-0.34254722222222256
1875,-0.377630555555557
1876,-0.3901305555555563
1877,-0.016880555555557564
1878,0.05786944444444231
1879,-0.23513055555555695
1880,-0.2908805555555549
1881,-0.21238055555555668
1882,-0.2429638888888892
1883,-0.3362972222222229
1884,-0.4662972222222237
1885,-0.4451305555555578
1886,-0.464297222222223
1887,-0.4835472222222226
1888,-0.3054638888888892
1889,-0.18613055555555746
1890,-0.4587972222222234
1891,-0.3557138888888911
1892,-0.417047222222223
1893,-0.38729722222222307
1894,-0.38479722222222357
1895,-0.3305472222222239
1896,-0.20896388888889028
1897,-0.22421388888889027
1898,-0.41263055555555717
1899,-0.2512138888888895
1900,-0.15563055555555572
1901,-0.22621388888889093
1902,-0.34121388888888937
1903,-0.4629638888888916
1904,-0.48913055555555474
1905,-0.34488055555555697
1906,-0.2676305555555558
1907,-0.42471388888889017
1908,-0.46138055555555724
1909,-0.5092138888888886
1910,-0.4804638888888899
1911,-0.5235472222222217
1912,-0.42238055555555576
1913,-0.3907972222222238
1914,-0.22329722222222337
1915,-0.15579722222222436
1916,-0.39821388888888976
1917,-0.4897972222222222
1918,-0.3397138888888893
1919,-0.29279722222222127
1920,-0.2732972222222241
1921,-0.19746388888888866
1922,-0.2872138888888909
1923,-0.2717138888888897
1924,-0.26021388888888985
1925,-0.2092138888888897
1926,-0.058463888888889315
1927,-0.17729722222222222
1928,-0.1672972222222242
1929,-0.3321305555555565
1930,-0.12704722222222387
1931,-0.07129722222222235
1932,-0.11154722222222269
1933,-0.28663055555555594
1934,-0.15504722222222256
1935,-0.1807138888888904
1936,-0.13338055555555606
1937,0.0009527777777762481
1938,-0.006463888888889713
1939,0.0027861111111082693
1940,0.07253611111111091
1941,0.08511944444444453
1942,0.025786111111109733
1943,0.045452777777775566
1944,0.14953611111111087
1945,0.031202777777776802
1946,-0.03679722222222104
1947,0.01061944444444407
1948,-0.038380555555557194
1949,-0.07679722222222374
1950,-0.16004722222222334
1951,0.011619444444443516
1952,0.06353611111111057
1953,0.1215361111111104
1954,-0.06896388888888971
1955,-0.1252138888888883
1956,-0.19354722222222165
1957,0.0745361111111098
1958,0.0825361111111107
1959,0.040952777777775395
1960,-0.007630555555556029
1961,0.08036944444444316
1962,0.026036111111110927
1963,0.07711944444444363
1964,-0.18246388888888987
1965,-0.10379722222222121
1966,-0.034880555555558246
1967,-0.005380555555555944
1968,-0.0356305555555565
1969,0.09095277777777788
1970,0.03311944444444315
1971,-0.09954722222222223
1972,-0.006630555555554807
1973,0.10520277777777665
1974,-0.1314638888888897
1975,-0.06088055555555627
1976,-0.16846388888888875
1977,0.10870277777777737
1978,0.0013694444444425358
1979,0.11461944444444327
1980,0.19228611111110894
1981,0.21661944444444536
1982,0.04236944444444468
1983,0.2207027777777757
1984,0.04461944444444299
1985,0.041119444444442266
1986,0.08445277777777704
1987,0.22495277777777822
1988,0.2562027777777782
1989,0.14203611111111059
1990,0.32978611111111
1991,0.2984527777777757
1992,0.15345277777777788
1993,0.16686944444444407
1994,0.23545277777777507
1995,0.33828611111110973
1996,0.22511944444444332
1997,0.41428611111111024
1998,0.5264527777777772
1999,0.3007861111111101
2000,0.3111194444444436
2001,0.4679527777777768
2002,0.5296194444444442
2003,0.5270361111111104
2004,0.4577027777777758
2005,0.5797027777777757
2006,0.5139527777777761
2007,0.5277861111111104
2008,0.4217027777777762
2009,0.5276194444444418
2010,0.5959527777777751
2011,0.46995277777777744
2012,0.5027861111111118
2013,0.554869444444444
2014,0.6134527777777752
2015,0.7590361111111115
