Year,Total Disasters
1900,7
1901,2
1902,10
1903,12
1904,4
1905,8
1906,13
1907,3
1908,3
1909,17
1910,17
1911,10
1912,6
1913,6
1914,8
1915,7
1916,3
1917,8
1918,8
1919,5
1920,12
1921,2
1922,8
1923,16
1924,9
1925,13
1926,16
1927,10
1928,17
1929,5
1930,23
1931,14
1932,13
1933,11
1934,8
1935,16
1936,20
1937,10
1938,7
1939,12
1940,21
1941,13
1942,12
1943,16
1944,15
1945,17
1946,17
1947,14
1948,25
1949,21
1950,27
1951,31
1952,29
1953,37
1954,33
1955,32
1956,36
1957,28
1958,24
1959,33
1960,39
1961,29
1962,29
1963,44
1964,63
1965,68
1966,84
1967,80
1968,83
1969,83
1970,82
1971,63
1972,63
1973,65
1974,72
1975,67
1976,99
1977,141
1978,137
1979,122
1980,144
1981,146
1982,150
1983,206
1984,156
1985,175
1986,174
1987,227
1988,234
1989,189
1990,303
1991,266
1992,232
1993,267
1994,255
1995,277
1996,273
1997,323
1998,363
1999,416
2000,523
2001,447
2002,532
2003,392
2004,405
2005,498
2006,446
2007,449
2008,400
2009,384
2010,441
2011,357
2012,370
2013,353
2014,348
2015,398
2016,350
2017,371
2018,338
2019,442
2020,398
2021,315
