Year,Total_Disasters,Total_Deaths
1900,7,1267500
1901,2,200018
1902,10,48438
1903,12,7136
1904,4,152
1905,8,20987
1906,13,33657
1907,3,1313200
1908,3,75033
1909,17,1506356
1910,17,148993
1911,10,103705
1912,6,52093
1913,6,1962
1914,8,4422
1915,7,32337
1916,3,481
1917,8,2523561
1918,8,460950
1919,5,5500
1920,12,3206872
1921,2,1200000
1922,8,101175
1923,16,254286
1924,9,303279
1925,13,6972
1926,16,427852
1927,10,53270
1928,17,3004895
1929,5,3330
1930,23,11078
1931,14,3718976
1932,13,4917
1933,11,31442
1934,8,5711
1935,16,274119
1936,20,5886
1937,10,12450
1938,7,2208
1939,12,563205
1940,21,23150
1941,13,13002
1942,12,1604426
1943,16,1912974
1944,15,16172
1945,17,11358
1946,17,35563
1947,14,17650
1948,25,120828
1949,21,123774
1950,27,6845
1951,31,18227
1952,29,6886
1953,37,12997
1954,33,41847
1955,32,5556
1956,36,7737
1957,28,10580
1958,24,4061
1959,33,2013208
1960,39,38624
1961,29,17381
1962,29,17239
1963,44,37431
1964,63,12892
1965,68,1565529
1966,84,17218
1967,80,10045
1968,83,22174
1969,83,11714
1970,82,387089
1971,63,18087
1972,63,20058
1973,65,129594
1974,72,68525
1975,67,26858
1976,99,280480
1977,141,22424
1978,137,38096
1979,122,7315
1980,144,25998
1981,146,116970
1982,150,14036
1983,206,461061
1984,156,15673
1985,175,60231
1986,174,10349
1987,227,21524
1988,234,57454
1989,189,12611
1990,303,53133
1991,266,189707
1992,232,18913
1993,267,21821
1994,255,15590
1995,277,27166
1996,273,31595
1997,323,30024
1998,363,62673
1999,416,76906
2000,523,16639
2001,447,39502
2002,532,21699
2003,392,113133
2004,405,244905
2005,498,94533
2006,446,28795
2007,449,22420
2008,400,242288
2009,384,16085
2010,441,329800
2011,357,34143
2012,370,11668
2013,353,22159
2014,348,20922
2015,398,24308
2016,350,10714
2017,371,11906
2018,338,15014
2019,442,22455
2020,398,15288
2021,315,9795
